Book,Authors,Jornal,Year,Publisher,Link
ANÁLISE DA LITERATURA DA BASE DE PERIÓDICOS SPELL SOBRE A TEMÁTICA GESTÃO DA DIVERSIDADE,"CSR Queiroz, GS dos Santos",Revista Estudos e,2018,periodicoscientificos.ufmt.br,https://periodicoscientificos.ufmt.br/ojs/index.php/repad/article/view/6187
A gestão da diversidade nas melhores empresas para se trabalhar no Brasil,AR Lara ,2008,2008,bdm.unb.br,https://bdm.unb.br/handle/10483/1436
Gestão de pessoas: práticas de gestão da diversidade nas organizações,"J Camilo, I Fortim, P Aguerre ",2020,2020,books.google.com,https://books.google.com/books?hl=en&lr=&id=2cPPDwAAQBAJ&oi=fnd&pg=PT3&dq=gest%C3%A3o+da+diversidade&ots=vUdU-XWeEa&sig=IWVWpYYH4Wo40qsExJpAUA14WdE
Gestão da diversidade nas organizações brasileiras: um estudo de gênero e raça,"EBP Gonçalves, BSDMM ESPEJO",XVIII Semead,2015,sistema.semead.com.br,http://sistema.semead.com.br/18semead/resultado/trabalhosPDF/217.pdf
Gestão da diversidade e pessoas com deficiência: percepção dos gestores e empregados sobre os impactos da lei de cotas,"VP Richarte Martinez, AC Limongi",França,França,2008,https://repositorio.usp.br/item/001683939
Diversidade cultural: panorama atual e reflexões para a realidade brasileira,"DMM Hanashiro, SG de Carvalho",REAd,REAd,"Revista Eletrônica de…, 2005",https://www.redalyc.org/pdf/4011/401137448001.pdf
Homossexualidade e Ambiente de trabalho: Contribuições da comunicação organizacional para a gestão da diversidade sexual,RS Nunes ,2017,2017,bdm.unb.br,https://bdm.unb.br/handle/10483/18091
A importância da competência intercultural para a gestão da diversidade e da diferença cultural em equipes globais,"TPS Dalben, GT Nabuco",Políticas Culturais em Revista,2021,periodicos.ufba.br,https://periodicos.ufba.br/index.php/pculturais/article/view/37807
O impacto da gestão da diversidade nas relações raciais no ambiente organizacional: um fator crítico de sucesso,"JRA BARBOSA, PNC REIS, EMV DA SILVA",Excelência em Gestão e,2014,aedb.br,https://www.aedb.br/seget/arquivos/artigos14/40920529.pdf
Gestão da diversidade de culturas: práticas fundamentais para implementadores de RRC,"J Engels, S Diulgheroff, J Sanz Alvarez ",2014,2014,agris.fao.org,https://agris.fao.org/agris-search/search.do?recordID=XF2015001487
" Gestão da diversidade, identidade e racialização: duas gerações de profissionais negros (as) no mundo empresarial",HE dos Santos,Contemporânea,2019,scholar.archive.org,https://scholar.archive.org/work/pyfhe4uvdrbyheubxt64vpmkky/access/wayback/http://doi.editoracubo.com.br/10.4322/2316-1329.109
Gestão da diversidade nas organizações: os desafios para ser um líder inclusivo,"BV Bernar, BD Rodolfo, EC Madalena",Inova+ Cadernos da,2021,app.fiepr.org.br,http://app.fiepr.org.br/revistacientifica/index.php/inovamais/article/view/510
Gestão da diversidade linguística na educação formal no Brasil: desafios para uma política linguística,IR Berger,Revista (Con) Textos Linguísticos,2017,periodicos.ufes.br,https://periodicos.ufes.br/contextoslinguisticos/article/view/16959/12565
